start,end,orth,final_ipa,draft_ipa,Notes (Jack),eng,spn,notes,flags
208.298,209.38,ra kúu,ra kúuu,ra kúu,moved start time back to remove end of previous word.,they can,se pueda,,unmapped char: 'r'
209.38,212.359,kúu... kúu ku'mí-nà-tǐ ra kúu sáchúun-nà tsi-tí rì,kúuu kû kumí nà t̪ǐ ra kúu sátʃṹũ nà tsi t̪í rì,kúu... kúu kuʔmí nà t̪ǐ ra kúu sátʃúũ nà tsi t̪í rì,,they can have them and work with them because,se pueda tenerlos y trabajarlos porque,,"t->t̪ (tentative, verify); unmapped char: 'm'; unmapped char: 'r'"
212.830,213.614,ñàà,ɲààà,ñàà,moved back start time to remove dead air and transitional non verbal sound,,,,
213.814,216.362,iin ñà ná mà yǔ'ù soo-nà-tǐ-ni ra kúu,ĩ́ĩ́ ɲà ná mà jǔʔù soo nà t̪ǐ ni raaa kúu,iĩ ñà ná mà yǔʔù soo nà t̪ǐ ni ra kúu,,if you only are not afraid of them you can,nomás que no se le tenga miedo y se puede,,"t->t̪ (tentative, verify); unmapped char: 'm'; unmapped char: 'r'; unmapped char: 'y'"
218.989,221.731,"àjǎ, tá tsàà na'á ra saán-ni ntsìtsìkà","àhǎ, t̪ɐ́ɐ́ tsàà naʔá ra saã́ ni ntzìtsìkà","àjǎ, t̪á tsàà naʔá ra saã́ ni ntsìtsìkà",,"yes, I used to walk",si antes solo solía andar,,"t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'r'"
221.741,224.394,iin sa'mǎ ncheé-ni... [tsi iin] ñàà,ĩ́ĩ́ĩ́ samǎ ndʒɛɛ́ ni nnnzə tsi ĩĩ ɲààà,iĩ saʔmǎ ntʃɛɛ́ ni... [tsi iin] ñàà,,with thick clothes and,con una ropa gruesa (y),,unmapped char: 'm'
224.786,226.980,iin ñà kú ntǎsì nùǔ nchíì ñà nìkùu-ni,ĩ́ĩ́ ɲà kú ndǎsì nũ̀ũ̌ ndʒíì à nìkùu ni,iĩ ñà kú nt̪ǎsì nùǔ ntʃíì ñà nìkùu ni,moved end time back to finish last word,with whatever to cover my face,con lo que fuera para taparme la cara,,"t->t̪ (tentative, verify)"
226.980,228.368,ntsìtsásì-yù nùû ra,ntzìtzásì jù nũ̀ũ̂ ra,ntsìtsásì yù nùû ra,moved start time back to remove end of previous word.,I used to cover my face,me solía tapar la cara,,unmapped char: 'r'; unmapped char: 'y'
228.368,230.181,vichi kúu ñàà vichi kúu-ñà ntàkuǎàn,vitʃi ɣú ɲà vitʃi wã́ã nt̪àkwǎã̀,vitʃi kúu ñàà vitʃi kúu ñà nt̪àkwǎã̀,"replaced “kuu ña” again, moved end time back to remove start of next segment",now I bought,ahora es que compré,,"t->t̪ (tentative, verify); unmapped char: 'w'"
230.181,232.405,yéè kánkúun sa'mǎ ñàà,jɛ́ɛ̀ kánkúũ samǎ ɲàà,yɛ́ɛ̀ kánkúũ saʔmǎ ñàà,moved up start time to include start of first word “yee”,special clothes,ropa especial que,,unmapped char: 'm'; unmapped char: 'y'
232.41,234.684,ñà kú ntsìtsó ñàà kú nkàa nùǔ-kó,ɲɲɲà kú ntsìtsó ɲààà kú ŋk̬àa nũ̀ũ̌ ɣó,ñà kú ntsìtsó ñàà kú nkàa nùǔ kó,moved end time back to finish last word,to dress and cover my (our) face,para vestirnos o para cubrir la cara,,
236.96,238.615,Yukúnanǐ yó'o ra,jukúnanǐ jóo ra,Yukúnanǐ yóʔo ra,,Here in Yucunani,Aqui en Yucunani,,unmapped char: 'Y'; unmapped char: 'r'; unmapped char: 'y'
239.001,241.142,ùnì tá'àn-kuê kúu-ñà sáchúun sáchúun,ùmì t̪ã́ã̀ wɛ̂ wã́ã sátʃṹũ sátʃṹũ,ùnì t̪áʔã̀ kuɛ̂ kúu ñà sátʃúũ sátʃúũ,moved back start time to remove dead air and transitional non verbal sound. Replace “kuu ña” with [wã́ã] again,there are three of us that work,tres de nosotros somos los que trabajamos,,"t->t̪ (tentative, verify)"
241.142,242.825,cha maestro Moisés,dʒaaa maɛst̪ro mɔisɛ́s,tʃa maɛst̪ro Moisɛ́s,,with Maestro Moisés,con el Maestro Moises,,"t->t̪ (tentative, verify); unmapped char: 'M'; unmapped char: 'm'; unmapped char: 'r'"
242.836,243.998,Velasco tsi ñàà,βɛlasko tzii ɲàà,vɛlasco tsi ñàà,moved back start time to remove dead air and transitional non verbal sound,Velasco and,Velasco y,,unmapped char: 'c'; unmapped char: 'l'
244.749,248.138,Maurino Rodriguez ùnì tá'àn-kuê kúu-ñà sáchúun Yukúnanǐ yó'o,maurino rodrigɛs ùnì t̪ã́ã̀ wɛ̂ wã́ã sátʃṹũ jukúnanǐ jo,Maurino Rodriguɛz ùnì t̪áʔã̀ kuɛ̂ kúu ñà sátʃúũ Yukúnanǐ yóʔo,replaced “kuu ña” again,"Maurino Rodriguez, there are three of us who work here in Yucunani",Maurino Rodriguez somo tres los que trabajamos aqui en Yucunani,,"t->t̪ (tentative, verify); unmapped char: 'M'; unmapped char: 'R'; unmapped char: 'Y'; unmapped char: 'd'; unmapped char: 'g'; unmapped char: 'r'; unmapped char: 'y'; unmapped char: 'z'"
249.443,250.66,ñàà,ɲàà,ñàà,,,,,
250.665,253.104,iin nùǔ kájà ra ñàà,ĩ́ĩ́ nũ̀ũ̌ kájà ra ɲàà,iĩ nùǔ kájà ra ñàà,,in a box and,en una caja y,,unmapped char: 'j'; unmapped char: 'r'
254.221,257.86,nti'i-ni kue kájà yó'o ra tsíku'mí-à iin ñùñǔ luu kitǐ,nt̪iʔi ni kwɛ kájà jóʔo ra tsíkuʔmí à ĩ́ĩ́ ɲũ̀ɲũ̌ luu kit̪ǐ,nt̪iʔi ni kwɛ kájà yóʔo ra tsíkuʔmí à iĩ ñùñǔ luu kit̪ǐ,,all boxes normally have a little bee,todas las cajas suelen tener una abejita,,"t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'l'; unmapped char: 'm'; unmapped char: 'r'; unmapped char: 'w'; unmapped char: 'y'"
257.865,259.487,kitǐ naní reina,kit̪ǐ naní rɛina,kit̪ǐ naní rɛina,,called the queen,que le dicen reina,,"t->t̪ (tentative, verify); unmapped char: 'r'"
259.49,261.112,saán naní iin kitǐ kúu ntsá'nu,saã́ naní ĩ́ĩ́ kit̪ǐ kúu ntsáʔnu,saã́ naní iĩ kit̪ǐ kúu ntsáʔnu,,this is what we call the one that rules,así se llama la que manda,,"t->t̪ (tentative, verify)"
261.115,263.465,tsàà jara kú'mí síin tukì iin ñàà,tsàà jara kúʔmí síĩ t̪ukì ĩ́ĩ́ ɲàà,tsàà jara kúʔmí síĩ t̪ukì iĩ ñàà,,but it (the box) also has a different,pero tambien la (caja) tiene otra abeja,,"t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'm'; unmapped char: 'r'"
263.926,266.421,ñùñǔ kitǐ ntoo luu kitǐ íí ná kachǒ,ɲũ̀ɲũ̌ kit̪ǐ nt̪oo luu kit̪ǐ íí ná katʃǒ,ñùñǔ kit̪ǐ nt̪oo luu kit̪ǐ íí ná katʃǒ,,"bee, a big animal that is the male let's say",abeja mas grande que es el macho digamos,,"t->t̪ (tentative, verify); unmapped char: 'l'"
266.777,270.454,cha jara (ii...) kitǐ íí luu-ka ra iin tiémpù luu-ni tono iin,tʃa jara (ii...) kit̪ǐ íí luu ka ra ĩ́ĩ́ t̪iɛ́mpù luu ni t̪ono ĩ́ĩ́,tʃa jara (ii...) kit̪ǐ íí luu ka ra iĩ t̪iɛ́mpù luu ni t̪ono iĩ,,and the male only lives for a little time,y el macho solo vive en un tiempecito,,"t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'l'; unmapped char: 'm'; unmapped char: 'p'; unmapped char: 'r'"
270.621,272.76,yéè iin tiémpù luu-ni kúu-ñà tsíǒ-tí,jɛ́ɛ̀ ĩ́ĩ́ t̪iɛ́mpù luu ni kúu ɲà tsíǒ t̪í,yɛ́ɛ̀ iĩ t̪iɛ́mpù luu ni kúu ñà tsíǒ t̪í,,it lives for a little time,vive en un tiempecito,,"t->t̪ (tentative, verify); unmapped char: 'l'; unmapped char: 'm'; unmapped char: 'p'; unmapped char: 'y'"
272.999,273.926,cha jara,tʃa jara,tʃa jara,,and then,entonces,,unmapped char: 'j'; unmapped char: 'r'
273.998,274.843,ñàà,ɲàà,ñàà,,,,,
274.862,276.106,takuà tsákì-tǐ tàtà,t̪akuà tsákì t̪ǐ t̪àt̪à,t̪akuà tsákì t̪ǐ t̪àt̪à,,to reproduce,para reproducir,,"t->t̪ (tentative, verify)"
276.237,278.609,cha tá ntì'i jara (tsán) tsá'ní-kue-ì ñàà,tʃa t̪á nt̪ìʔi jara (tsán) tsáʔní kwɛ ì ɲàà,tʃa t̪á nt̪ìʔi jara (tsán) tsáʔní kwɛ ì ñàà,,then the (female) bees kill,luego las abejas(hembras) matan,,"t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'r'; unmapped char: 'w'"
278.788,279.905,kue kitǐ íí-ka,kwɛ kit̪ǐ íí ka,kwɛ kit̪ǐ íí ka,,the male bees,a los machos,,"t->t̪ (tentative, verify); unmapped char: 'w'"
279.905,281.299,cha ntôo tani ñàà,tʃa nt̪ôo t̪ani ɲàà,tʃa nt̪ôo t̪ani ñàà,,and then the only one left,entonces solo queda,,"t->t̪ (tentative, verify)"
281.333,283.622,kitǐ kúu ntsá'nu-ka kitǐ tsákì ntivǐ-ka,kit̪ǐ kúu ntsáʔnu ka kit̪ǐ tsákì nt̪ivǐ ka,kit̪ǐ kúu ntsáʔnu ka kit̪ǐ tsákì nt̪ivǐ ka,,is the queen that lays eggs,la reina la que pone los huevos,,"t->t̪ (tentative, verify)"
283.932,285.254,tsákì-tǐ ntivǐ,tsákì t̪ǐ nt̪ivǐ,tsákì t̪ǐ nt̪ivǐ,,lays eggs,pone huevos,,"t->t̪ (tentative, verify)"
285.274,286.707,kuà'ǎ nchuà'à ntivǐ tsákì-tǐ,kuàʔǎ ntʃuàʔà nt̪ivǐ tsákì t̪ǐ,kuàʔǎ ntʃuàʔà nt̪ivǐ tsákì t̪ǐ,,lays a lot of eggs,pone muchos huevos,,"t->t̪ (tentative, verify)"
286.843,288.315,jara tá ntsìnu ra ntáku...,jara t̪á ntsìnu ra nt̪áku...,jara t̪á ntsìnu ra nt̪áku...,,when it finishes,y cuando termina,,"t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'r'"
289.115,290.487,tá kuà'àn nkua'nu ñàà,t̪á kuàʔã̀ nkwaʔnu ɲàà,t̪á kuàʔã̀ nkwaʔnu ñàà,,when it is growing,cuando va creciendo,,"t->t̪ (tentative, verify); unmapped char: 'w'"
290.487,292.449,ítsí luu-ka jara ntákasì-tǐ,ítsí luu ka jara nt̪ákasì t̪ǐ,ítsí luu ka jara nt̪ákasì t̪ǐ,,(larvae) then it closes,los huevitos entonces cierra,suena como parecido a (tákasì-tǐ),"t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'l'; unmapped char: 'r'"
292.91,294.988,jara tá nìkěta iin,jara t̪á nìkɛ̌t̪a ĩ́ĩ́,jara t̪á nìkɛ̌t̪a iĩ,,after completing one,cuando cumplen una,,"t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'r'"
294.991,296.83,kuàâ òkò kìǐ jara tâ'vǐ-tí,kuàâ òkò kìǐ jara t̪âʔvǐ t̪í,kuàâ òkò kìǐ jara t̪âʔvǐ t̪í,,"20 days, they are born",veintena de dias y nacen,(ti) a veces suena como (ri),"t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'r'"
296.858,298.834,tá ntǎ'vǐ-tí jara iká ra ñàà,t̪á nt̪ǎʔvǐ t̪í jara iká ra ɲàà,t̪á nt̪ǎʔvǐ t̪í jara iká ra ñàà,,after they are born,luego que nacen entonces,,"t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'r'"
298.84,301.51,tatù ná ta'vǐ iinkàâ kitǐ kúu ntsá'nu-ka jara,t̪at̪ù ná t̪aʔvǐ iinkàâ kit̪ǐ kúu ntsáʔnu ka jara,t̪at̪ù ná t̪aʔvǐ iinkàâ kit̪ǐ kúu ntsáʔnu ka jara,,if another queen is born then,si nace otra reina entonces,,"t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'r'"
301.511,305.664,kú ntàsǎtútú tá'àn-tǐ iin iin xóó luu-tí jara ún nkee-tí kù'ùn-tǐ,kú nt̪àsǎt̪út̪ú t̪áʔã̀ t̪ǐ ĩ́ĩ́ ĩ́ĩ́ ʃóó luu t̪í jara ṹ nkɛɛ t̪í kùʔũ̀ t̪ǐ,kú nt̪àsǎt̪út̪ú t̪áʔã̀ t̪ǐ iĩ iĩ ʃóó luu t̪í jara ṹ nkɛɛ t̪í kùʔũ̀ t̪ǐ,,a few gather together and they leave,se junta unos cuantos y luego se marchan,"tá'an = recíproco? ""each other""","t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'l'; unmapped char: 'r'"
307.211,308.076,ñàà,ɲàà,ñàà,,,,,
308.081,309.181,ntàà kúu-ñà,nt̪àà kúu ɲà,nt̪àà kúu ñà,,The true is,lo cierto es que,,"t->t̪ (tentative, verify)"
309.187,311.516,meê ra xíkò ntǔxì,mɛɛ̂ ra ʃíkò nt̪ǔʃì,mɛɛ̂ ra ʃíkò nt̪ǔʃì,,I sell honey,yo vendo miel,,"t->t̪ (tentative, verify); unmapped char: 'm'; unmapped char: 'r'"
311.595,313.512,ntǔxì ñàà,nt̪ǔʃì ɲàà,nt̪ǔʃì ñàà,,honey,miel,,"t->t̪ (tentative, verify)"
313.752,315.577,ntǔxì tsi ità,nt̪ǔʃì tsi it̪à,nt̪ǔʃì tsi it̪à,,honeycomb,miel con panal,,"t->t̪ (tentative, verify)"
315.577,317.642,kuě tsà'ǎ ñà-ka kǒo kue ñàà,kwɛ̌ tsàʔǎ ɲà ka kǒo kwɛ ɲàà,kwɛ̌ tsàʔǎ ñà ka kǒo kwɛ ñàà,,no...I don't have,no...porque no tengo,,unmapped char: 'w'
317.657,320.805,kue kàa kú'mî tavà tavâ mímeé ità ra ñàà,kwɛ kàa kúʔmî t̪avà t̪avâ mímɛɛ́ it̪à ra ɲàà,kwɛ kàa kúʔmî t̪avà t̪avâ mímɛɛ́ it̪à ra ñàà,,machines to separate the honeycomb,maquinas para sacar el puro panal y,,"t->t̪ (tentative, verify); unmapped char: 'm'; unmapped char: 'r'; unmapped char: 'w'"
320.805,322.169,sá'a soò kúu-ñà,sáʔa soò kúu ɲà,sáʔa soò kúu ñà,,what I do is,lo que hago es,,
322.378,323.748,tá yòǒ ñàà,t̪á jòǒ ɲàà,t̪á yòǒ ñàà,,in the month of,en el mes de,,"t->t̪ (tentative, verify); unmapped char: 'y'"
323.766,326.477,tá yòǒ kúmǎní-kà kítsáá ntǔxì ra,t̪á jòǒ kúmǎní kà kítsáá nt̪ǔʃì ra,t̪á yòǒ kúmǎní kà kítsáá nt̪ǔʃì ra,,before the month that honey starts,antes del mes que empiece la miel,kumani - faltar,"t->t̪ (tentative, verify); unmapped char: 'm'; unmapped char: 'r'; unmapped char: 'y'"
326.488,327.029,távâ,t̪ávâ,t̪ávâ,,I take,saco,,"t->t̪ (tentative, verify)"
327.037,328.496,távâ ñàà ità luu-ka,t̪ávâ ɲàà it̪à luu ka,t̪ávâ ñàà it̪à luu ka,,I take the honeycomb,saco el panal,,"t->t̪ (tentative, verify); unmapped char: 'l'"
328.881,332.798,jara takuà ità luu-ka ra xíko síìn ità luu-ka ra ñàà,jara t̪akuà it̪à luu ka ra ʃíko síĩ̀ it̪à luu ka ra ɲàà,jara t̪akuà it̪à luu ka ra ʃíko síĩ̀ it̪à luu ka ra ñàà,,"then the honeycomb, I sell the honeycomb separately","entonces el panalito, vendo el panalito por separado",xíko síìn = la primera person en síin!,"t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'l'; unmapped char: 'r'"
332.811,335.493,rì ità luu-ka ra kuà'ǎ nchuà'a nùǔ kuè'è và'î,rì it̪à luu ka ra kuàʔǎ ndʒòʔa nũ̀ũ̌ kuɛ̀ʔɛ̀ vàʔî,rì it̪à luu ka ra kuàʔǎ ntʃuàʔa nùǔ kuɛ̀ʔɛ̀ vàʔî,,because honeycomb is good for many illnesses,porque el panalito es bueno para muchas enfermedades,,"t->t̪ (tentative, verify); unmapped char: 'l'; unmapped char: 'r'"
335.652,337.176,và'î ñàà,vàʔî ɲàà,vàʔî ñàà,,it is good,es bueno,,
337.187,338.14,kue nà,kwɛ nà,kwɛ nà,,to those whose,a los,,unmapped char: 'w'
338.152,340.687,ntúvìxì nìǐ á kue nà ñàà,nt̪úvìʃì nìǐ á kwɛ nà ɲàà,nt̪úvìʃì nìǐ á kwɛ nà ñàà,,blood sweetens or to those that,que se les endulza la sangre o a los que,ntúvìxì nìǐ - diabetes,"t->t̪ (tentative, verify); unmapped char: 'w'"
342.887,343.864,ñà kúu,ɲà kúu,ñà kúu,,that is,que es,,
343.872,347.083,nchíì ké'en ké'en nùǔ ké'en nchuà'a nùǔ kuè'è và'î ra,ndʒíì kɛ́ʔɛ̃ kɛ́ʔɛ̃ nũ̀ũ̌ kɛ́ʔɛ̃ ndʒòʔa nũ̀ũ̌ kuɛ̀ʔɛ̀ vàʔî ra,ntʃíì kɛ́ʔɛ̃ kɛ́ʔɛ̃ nùǔ kɛ́ʔɛ̃ ntʃuàʔa nùǔ kuɛ̀ʔɛ̀ vàʔî ra,,many are good for many illnesses,muchos para muchas enfermedades es bueno,ké'en  - muchos,unmapped char: 'r'
347.135,348.388,ñà kúu,ɲà kúu,ñà kúu,,that is,que es,,
348.405,350.946,tsà'ǎ ñà-ka kúu-ñà ntǔ'vâ xíkò ñàà,tsàʔǎ ɲà ka kúu ɲà nt̪ǔʔvâ ʃíkò ɲàà,tsàʔǎ ñà ka kúu ñà nt̪ǔʔvâ ʃíkò ñàà,,and that is why I don't usually sell,y por eso es que no suelo vender,tù'va - positivo / ntǔ'va - negativo,"t->t̪ (tentative, verify)"
350.952,354.281,ntǔxì ntǔxì ntùvà'a á ntǔxì kêe ñàà,nt̪ǔʃì nt̪ǔʃì nt̪ùvàʔa á nt̪ǔʃì kɛ̂ɛ ɲàà,nt̪ǔʃì nt̪ǔʃì nt̪ùvàʔa á nt̪ǔʃì kɛ̂ɛ ñàà,,fixed honey that gets added,miel arreglada que le agregan,ntùvà'a - arreglado,"t->t̪ (tentative, verify)"
354.664,355.641,asúkàr á nchíì-ka,asúkàr á ndʒíì ka,asúkàr á ntʃíì ka,,sugar or other things,azúcar u otra cosa,,unmapped char: 'r'
355.643,357.177,mímeé ntǔxì và'a,mímɛɛ́ nt̪ǔʃì vàʔa,mímɛɛ́ nt̪ǔʃì vàʔa,,pure good honey,pura miel buena,,"t->t̪ (tentative, verify); unmapped char: 'm'"
357.177,359.324,xíkò tavà ñàà,ʃíkò t̪avà ɲàà,ʃíkò t̪avà ñàà,,I sell so that,vendo para que,,"t->t̪ (tentative, verify)"
359.417,360.714,rì tsà'ǎ ñà-ka tsînì-yù ñàà,rì tsàʔǎ ɲà ka tsînì jù ɲàà,rì tsàʔǎ ñà ka tsînì yù ñàà,,because I know,porque sé,,unmapped char: 'r'; unmapped char: 'y'
360.749,361.432,và'î ra,vàʔî ra,vàʔî ra,,it is good,es buena,,unmapped char: 'r'
361.432,362.251,kuà'ǎ nchuà'a nivǐ ra,kuàʔǎ ndʒòʔa nivǐ ra,kuàʔǎ ntʃuàʔa nivǐ ra,,a lot of people,mucha gente,,unmapped char: 'r'
362.251,364.684,ká'àn tuku-nà tsà'î á meé ñùñǔ luu-ka ra,káʔã̀ t̪uku nà tsàʔî á mɛɛ́ ɲũ̀ɲũ̌ luu ka ra,káʔã̀ t̪uku nà tsàʔî á mɛɛ́ ñùñǔ luu ka ra,,speak about it (honey) or the bees,habla de ello (la miel) o las abejitas,tsà'ǎ = acerca de / tsà'î = acerca de ello,"t->t̪ (tentative, verify); unmapped char: 'l'; unmapped char: 'm'; unmapped char: 'r'"
364.984,366.334,ñùñǔ luu-ka ra và'a nchuì'î,ɲũ̀ɲũ̌ luu ka ra vàʔa ntʃuìʔî,ñùñǔ luu ka ra vàʔa ntʃuìʔî,,bees are very good for,las abejas son muy buenas para,nchuì'î - nchuà'î (Jeremías says the latter),unmapped char: 'l'; unmapped char: 'r'
366.34,368.477,tá kue nà kú'ù kòntò á,t̪á kwɛ nà kúʔù kònt̪ò á,t̪á kwɛ nà kúʔù kònt̪ò á,,for those with a bad knee,para los que les duele la rodilla,tá - para (en vez de nuu),"t->t̪ (tentative, verify); unmapped char: 'w'"
368.624,369.343,ñàà,ɲàà,ñàà,,,,,
369.418,371.481,tsîso á tâ'vǐ tsà'ǎ-nà ra,tsîso á t̪âʔvǐ tsàʔǎ nà ra,tsîso á t̪âʔvǐ tsàʔǎ nà ra,,cramps or pain in their leg,dar un calambre o dolor de pierna,(rodilla para abajo - tsà'ǎ),"t->t̪ (tentative, verify); unmapped char: 'r'"
371.584,372.402,và'a nchuà'a iñǔ,vàʔa ndʒòʔa iɲǔ,vàʔa ntʃuàʔa iñǔ,,the sting is very good,el aguijón es muy bueno,iñu - aguijón,
372.407,373.179,ñùñǔ luu-ka,ɲũ̀ɲũ̌ luu ka,ñùñǔ luu ka,,of the bee,de la abejita,,unmapped char: 'l'
373.185,374.251,tá ntsà'àn-yù Ñuù ra,t̪á ntsàʔã̀ jù ɲuù ra,t̪á ntsàʔã̀ yù ñuù ra,,when I went to Mixtepec,cuando fui a Mixtepec,ñuù - Mixtepec,"t->t̪ (tentative, verify); unmapped char: 'r'; unmapped char: 'y'"
374.257,375.416,kuà'ǎ nchuà'a kue nà,kuàʔǎ ndʒòʔa kwɛ nà,kuàʔǎ ntʃuàʔa kwɛ nà,,a lot of people,mucha gente,,unmapped char: 'w'
375.52,376.972,tsíkanuu nùǔ yà'vi-ka ra,tsíkanuu nũ̀ũ̌ jàʔvi ka ra,tsíkanuu nùǔ yàʔvi ka ra,,that was strolling in the square,que andaba por la plaza,nǔyà'vi - plaza,unmapped char: 'r'; unmapped char: 'y'
377.077,380.358,ntsìkà kánkúun-nà ñùñǔ luu tavà nchìntu'ú-nà tsà'ǎ-nà tavà,ntsìkà kánkúũ nà ɲũ̀ɲũ̌ luu t̪avà ntʃìnt̪uʔú nà tsàʔǎ nà t̪avà,ntsìkà kánkúũ nà ñùñǔ luu t̪avà ntʃìnt̪uʔú nà tsàʔǎ nà t̪avà,,asked on purpose for the bees to put them on their feet so that,pidieron a propósito las abejitas para ponerlas/colocarlas en sus pies para que,para que les pique,"t->t̪ (tentative, verify); unmapped char: 'l'"
381.255,382.451,ntuvà'a nta'á-nà,nt̪uvàʔa nt̪aʔá nà,nt̪uvàʔa nt̪aʔá nà,,to heal their hands,para curarse las manos,,"t->t̪ (tentative, verify)"
382.463,384.27,ntuvà'a nta'á-nà á ntuvà'a tsà'ǎ-nà ra,nt̪uvàʔa nt̪aʔá nà á nt̪uvàʔa tsàʔǎ nà ra,nt̪uvàʔa nt̪aʔá nà á nt̪uvàʔa tsàʔǎ nà ra,,to heal their hands or heal their feet,para curarse las manos o los pies,,"t->t̪ (tentative, verify); unmapped char: 'r'"
384.488,386.254,chuun-ka kúu-ñà và'a ñàà,tʃũũ ka kúu ɲà vàʔa ɲàà,tʃuũ ka kúu ñà vàʔa ñàà,,that's what they're good for,para eso es que sirve,,
386.262,387.288,ñùñǔ luu-ka,ɲũ̀ɲũ̌ luu ka,ñùñǔ luu ka,,the bees,las abejitas,,unmapped char: 'l'
389.288,391.274,ñà ntàà ra ñàà,ɲà nt̪àà ra ɲàà,ñà nt̪àà ra ñàà,,the truth is that,la verdad es que,,"t->t̪ (tentative, verify); unmapped char: 'r'"
391.662,393.062,ñùñǔ luu-ka ra,ɲũ̀ɲũ̌ luu ka ra,ñùñǔ luu ka ra,,the bees,las abejitas,,unmapped char: 'l'; unmapped char: 'r'
393.147,394.866,kuà'ǎ nchuà'a chincheé-tí tatù,kuàʔǎ ndʒòʔa tʃintʃɛɛ́ t̪í t̪at̪ù,kuàʔǎ ntʃuàʔa tʃintʃɛɛ́ t̪í t̪at̪ù,,they help a lot if,ayudan mucho si,,"t->t̪ (tentative, verify)"
395.088,396.944,ñàà tatù ná sá'a-kó ñàà,ɲàà t̪at̪ù ná sáʔa kó ɲàà,ñàà t̪at̪ù ná sáʔa kó ñàà,,if we do,si hacemos,,"t->t̪ (tentative, verify)"
397.099,398.09,kaa-kà kò'ǒn,kaa kà kòʔõ̌,kaa kà kòʔõ̌,,go higher,subir más,= tener más,
398.09,399.979,kuà'ǎ-kà kájà kúu ku'mǎ kuà'ǎ-kà ra,kuàʔǎ kà kájà kúu kuʔmǎ kuàʔǎ kà ra,kuàʔǎ kà kájà kúu kuʔmǎ kuàʔǎ kà ra,,"more boxes, to be able to have more boxes","más cajas, poder tener más cajas",kuni - kuna / ku'mi - ku'ma =kó ?,unmapped char: 'j'; unmapped char: 'm'; unmapped char: 'r'
400.143,403.891,kuà'ǎ nchuà'a kúu kaa kò'ǒn tsi-tí rì kitǐ-ka ra yéè xǔ'un luu-tí yéè,kuàʔǎ ndʒòʔa kúu kaa kòʔõ̌ tsi t̪í rì kit̪ǐ ka ra jɛ́ɛ̀ ʃǔʔũ luu t̪í jɛ́ɛ̀,kuàʔǎ ntʃuàʔa kúu kaa kòʔõ̌ tsi t̪í rì kit̪ǐ ka ra yɛ́ɛ̀ ʃǔʔũ luu t̪í yɛ́ɛ̀,,one can get rich with the bee because it has money it has,se puede subir/enriquecer con la abejita porque tiene dinero tiene,yéè xu'un - dar dinero // kaa (mM),"t->t̪ (tentative, verify); unmapped char: 'l'; unmapped char: 'r'; unmapped char: 'y'"
404.829,408.188,kuě tsíní ñú'u kuà'ǎ xèě ñàà xǔ'un chí'ó tìtsi-tí ra,kwɛ̌ tsíní ɲúʔu kuàʔǎ ʃɛ̀ɛ̌ ɲàà ʃǔʔũ tʃíʔó t̪ìtsi t̪í ra,kwɛ̌ tsíní ñúʔu kuàʔǎ ʃɛ̀ɛ̌ ñàà ʃǔʔũ tʃíʔó t̪ìtsi t̪í ra,,it is not necessary to invert a lot on them so,no hace falta meterle mucho dinero (a las abejas) y,,"t->t̪ (tentative, verify); unmapped char: 'r'; unmapped char: 'w'"
408.507,410.014,n... kuà'ǎ nchuà'a chincheé-tí yóó ra,n... kuàʔǎ ndʒòʔa tʃintʃɛɛ́ t̪í jóó ra,n... kuàʔǎ ntʃuàʔa tʃintʃɛɛ́ t̪í yóó ra,,they help us a lot (bees),nos ayudan mucho (las abejas),yóó = independent pronoun for the first person plural inclusive (only object?),"t->t̪ (tentative, verify); unmapped char: 'r'; unmapped char: 'y'"
410.725,413.51,kúu tsìnù-kǒ kúu kòo iin nivǐ iin nà,kúu tsìnù kǒ kúu kòo ĩ́ĩ́ nivǐ ĩ́ĩ́ nà,kúu tsìnù kǒ kúu kòo iĩ nivǐ iĩ nà,,you can become a person,puedes llegar a ser una persona,,
414.084,416.047,iin nà kuíka iin nà,ĩ́ĩ́ nà kuíka ĩ́ĩ́ nà,iĩ nà kuíka iĩ nà,,a rich person a person,una persona rica una persona,,
416.24,417.148,te takuà,t̪ɛ t̪akuà,t̪ɛ t̪akuà,,so that,para que,te = cha ?,"t->t̪ (tentative, verify)"
417.251,419.051,kúu kòo ñà-ka ra tsíní ñú'u,kúu kòo ɲà ka ra tsíní ɲúʔu,kúu kòo ñà ka ra tsíní ñúʔu,,you can be that (person) you need,puedas ser eso (esa persona) necesitas,,unmapped char: 'r'
419.075,419.715,kua...,kwa...,kwa...,,,,,unmapped char: 'w'
